_id|title|directors|year
1|The Rules of the Game|[1]|1939
2|Tokyo Story|[2]|1953
3|City Lights|[3]|1931
4|Pickpocket|[4]|1959
5|Metropolis|[5]|1927
6|Citizen Kane|[6]|1941
7|Orphée|[7]|1950
8|Masculin Féminin|[8]|1966
9|Persona|[9]|1966
10|Vertigo|[10]|1958
11|Sunrise|[11]|1927
12|The Searchers|[12]|1956
13|The Lady Eve|[13]|1941
14|The Conformist|[14]|1970
15|8 ½|[15]|1963
16|The Godfather|[16]|1972
17|In the Mood for Love|[17]|2000
18|The Third Man|[18]|1949
19|Performance|[19, 20]|1970
20|La Notte|[21]|1961
21|Mother and Son|[22]|1997
22|The Leopard|[23]|1963
23|The Dead|[24]|1987
24|2001: A Space Odyssey|[25]|1968
25|Last Year at Marienbad|[26]|1961
26|The Passion of Joan of Arc|[27]|1928
27|Jules and Jim|[28]|1962
28|The Wild Bunch|[29]|1969
29|All That Jazz|[30]|1979
30|The Life of Oharu|[31]|1952
31|High and Low|[32]|1963
32|Sweet Smell of Success|[33]|1957
33|That Obscure Object of Desire|[34]|1977
34|An American in Paris|[35]|1951
35|Voyage to Italy|[36]|1954
36|Taxi Driver|[37]|1976
37|Ali: Fear Eats the Soul|[38]|1974
38|Blue Velvet|[39]|1986
39|Crimes and Misdemeanors|[40]|1989
40|The Big Lebowski|[41]|1998
41|The Red Shoes|[42, 43]|1948
42|Singin’ in the Rain|[44, 45]|1952
43|Chinatown|[46]|1974
44|The Crowd|[47]|1928
45|Sunset Boulevard|[48]|1950
46|Talk to Her|[49]|2002
47|Shanghai Express|[50]|1932
48|Letter from an Unknown Woman|[51]|1948
49|Once Upon a Time in the West|[52]|1968
50|Salvatore Giuliano|[53]|1962
51|Nostalghia|[54]|1983
52|Seven Men From Now|[55]|1956
53|Claire’s Knee|[56]|1970
54|Earth|[57]|1930
55|Gun Crazy|[58]|1950
56|Out of the Past|[59]|1947
57|Children of Paradise|[60]|1945
58|The Naked Spur|[61]|1953
59|A Place in the Sun|[62]|1951
60|The General|[63]|1926
